'上海市人民政府办公厅关于推进花卉产业高质量发展服务高品质生活的意见',上海市人民政府办公厅,2020-12-25,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于同意《关于加快特色产业园区建设促进产业投资的若干政策措施》的通知',上海市人民政府办公厅,2020-05-14,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于促进本市养老产业加快发展的若干意见',上海市人民政府办公厅,2020-05-13,现行有效,地方政府规章及文件
'上海市农业农村委员会等关于印发《关于加快推进农业机械化和农机装备产业转型升级的实施意见》的通知',上海市农业农村委员会;上海市经济和信息化委员会;上海市发展和改革委员会;上海市财政局;上海市科学技术委员会;上海市规划和自然资源局,2020-03-04,现行有效,地方政府规章及文件
'中国（上海）自由贸易试验区管理委员会印发《中国(上海)自由贸易试验区关于进一步促进融资租赁产业发展的若干措施》的通知',中国（上海）自由贸易试验区管理委员会,2018-12-17,现行有效,地方政府规章及文件
'上海市人民政府印发《关于本市促进资源高效率配置推动产业高质量发展的若干意见》的通知',上海市人民政府,2018-11-12,现行有效,地方政府规章及文件
'上海市人民政府印发《关于加快本市体育产业创新发展的若干意见》的通知',上海市人民政府,2018-08-09,现行有效,地方政府规章及文件
'上海市人民政府关于印发《上海市工业互联网产业创新工程实施方案》的通知',上海市人民政府,2018-07-09,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局关于转发《财政部、税务总局关于延续动漫产业增值税政策的通知》的通知',上海市财政局;上海市国家税务局,2018-06-04,现行有效,地方政府规章及文件
'关于印发《促进上海创意与设计产业发展的实施办法》的通知',上海市经济和信息化委员会;中共上海市委宣传部;上海市发展和改革委员会;上海市商务委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市住房和城乡建设管理委员会;上海市规划和国土资源管理局;上海市地方税务局;上海市工商行政管理局;上海市新闻出版局;上海市知识产权局;上海市金融服务办公室,2018-05-28,现行有效,地方政府规章及文件
'关于转发《农业农村部、财政部关于开展2018年国家现代农业产业园创建工作的通知》的通知',上海市农业委员会,2018-05-15,现行有效,地方政府规章及文件
'关于印发《关于促进上海动漫游戏产业发展的若干实施办法》的通知',中共上海市委宣传部;上海市文化广播影视管理局;上海市发展和改革委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市规划和国土资源管理局;上海市国家税务局;上海市地方税务局;上海市新闻出版局;上海市体育局;上海市金融服务办公室,2018-05-04,现行有效,地方政府规章及文件
'关于印发《关于促进上海网络视听产业发展的实施办法》的通知',中共上海市委宣传部;上海市文化广播影视管理局;上海市发展和改革委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市规划和国土资源管理局;上海市国家税务局;上海市地方税务局;上海市新闻出版局;上海市金融服务办公室,2018-05-04,现行有效,地方政府规章及文件
'关于印发《关于促进上海演艺产业发展的实施办法》的通知',中共上海市委宣传部;上海市文化广播影视管理局;上海市发展和改革委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市规划和国土资源管理局;上海市国家税务局;上海市地方税务局;上海市金融服务办公室,2018-05-04,现行有效,地方政府规章及文件
'关于印发《关于促进上海艺术品产业发展的实施办法》的通知',中共上海市委宣传部;上海市文化广播影视管理局;上海市发展和改革委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市规划和国土资源管理局;上海市国家税务局;上海市地方税务局;上海市金融服务办公室,2018-05-04,现行有效,地方政府规章及文件
'关于印发《关于促进上海影视产业发展的实施办法》的通知',中共上海市委宣传部;上海市文化广播影视管理局;上海市发展和改革委员会;上海市教育委员会;上海市科学技术委员会;上海市财政局;上海市人力资源和社会保障局;上海市规划和国土资源管理局;上海市国家税务局;上海市地方税务局;上海市金融服务办公室,2018-05-04,现行有效,地方政府规章及文件
'关于加快本市文化创意产业创新发展的若干意见',中共上海市委;上海市人民政府,2017-12-12,现行有效,地方政府规章及文件
'关于印发《关于支持本市休闲农业和乡村旅游产业发展的规划土地政策实施意见》的通知',上海市规划和国土资源管理局;上海市农业委员会;上海市旅游局,2017-11-29,现行有效,地方政府规章及文件
'上海市人民政府关于印发《上海市产业项目行政审批流程优化方案》的通知',上海市人民政府,2017-11-09,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市工艺美术产业发展三年提升计划(2017—2019年)》的通知',上海市经济和信息化委员会,2017-11-08,现行有效,地方政府规章及文件
'上海市经济信息化委、市财政局关于印发《上海市软件和集成电路产业发展专项支持实施细则》的通知',上海市经济和信息化委员会;上海市财政局,2017-10-20,已失效,地方政府规章及文件
'上海市人民政府关于批转市发展改革委、市财政局制订的《上海市战略性新兴产业发展专项资金管理办法》的通知',上海市人民政府,2017-09-30,现行有效,地方政府规章及文件
'上海市人民政府印发《关于推进上海美丽健康产业发展的若干意见》的通知',上海市人民政府,2017-09-14,现行有效,地方政府规章及文件
'上海市人民政府关于加快发展康复辅助器具产业的实施意见',上海市人民政府,2017-09-05,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于促进本市生物医药产业健康发展的实施意见',上海市人民政府办公厅,2017-08-09,已失效,地方政府规章及文件
'上海市人民政府办公厅印发关于本市支持返乡下乡人员创业创新促进农村一二三产业融合发展实施意见的通知',上海市人民政府办公厅,2017-08-07,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于加快本市应急产业发展的实施意见',上海市人民政府办公厅,2017-08-01,现行有效,地方政府规章及文件
'上海市经济信息化委关于开展上海市军民融合产业投资基金项目库首批项目征集工作的通知',上海市经济和信息化委员会,2017-07-05,现行有效,地方政府规章及文件
'关于印发上海市现代农业产业技术体系建设实施方案的通知',上海市农业委员会,2017-06-13,现行有效,地方政府规章及文件
'上海市人民政府印发《关于本市进一步鼓励软件产业和集成电路产业发展的若干政策》的通知',上海市人民政府,2017-04-17,已失效,地方政府规章及文件
'上海市人民政府办公厅关于转发市经济信息化委等五部门制订的《上海市产业结构调整专项补助办法》的通知',上海市人民政府办公厅,2017-03-16,现行有效,地方政府规章及文件
'上海市经济信息化委、市财政局关于印发《上海产业转型升级投资基金管理办法》的通知',上海市经济和信息化委员会;上海市财政局,2017-02-16,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局关于转发《财政部、海关总署、国家税务总局关于扶持新型显示器件产业发展有关进口税收政策的通知》的通知',上海市财政局;上海市国家税务局,2017-01-17,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于印发《上海市体育产业发展实施方案(2016-2020年)》的通知',上海市人民政府办公厅,2017-01-12,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海创意与设计产业发展“十三五”规划》的通知',上海市经济和信息化委员会,2017-01-09,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于转发市经济信息化委制订的《上海市智能网联汽车产业创新工程实施方案》的通知',上海市人民政府办公厅,2017-01-06,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市关于促进云计算创新发展培育信息产业新业态的实施意见》的通知',上海市经济和信息化委员会,2017-01-04,现行有效,地方政府规章及文件
'关于组织申报2017年上海市产业转型升级发展专项资金项目(重点技术改造)的通知',上海市经济和信息化委员会,2016-12-30,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发2017年上海市产业转型升级发展专项资金(品牌经济发展)项目申报指南的通知',上海市经济和信息化委员会,2016-12-30,现行有效,地方政府规章及文件
'上海市经济信息化委关于开展2017年上海市产业转型升级发展专项资金项目(工业强基第一批)申报工作的通知',上海市经济和信息化委员会,2016-12-29,现行有效,地方政府规章及文件
'上海市经济信息化委关于开展2017年上海市产业转型升级发展专项资金项目(产业技术创新)申报工作的通知',上海市经济和信息化委员会,2016-12-29,现行有效,地方政府规章及文件
'上海市经济和信息化委员会、上海市科学技术委员会、上海市张江高新技术产业开发区管理委员会关于发布《2016年度上海市创新产品推荐目录》的通知',上海市经济和信息化委员会;上海市科学技术委员会;上海市张江高新技术产业开发区管理委员会,2016-12-28,现行有效,地方政府规章及文件
'上海市经济信息化委关于开展2017年上海市产业转型升级发展专项资金项目(生产性服务业发展)申报工作的通知',上海市经济和信息化委员会,2016-12-28,现行有效,地方政府规章及文件
'上海市经济信息化委关于开展2017年度上海市软件和集成电路产业发展专项资金项目申报工作的通知',上海市经济和信息化委员会,2016-12-28,现行有效,地方政府规章及文件
'上海市经济和信息化委员会关于公布市级信息服务产业基地评估结果的通知',上海市经济和信息化委员会,2016-12-28,现行有效,地方政府规章及文件
'上海市发展改革委关于宝山区建设上海国家高技术服务产业重点培育培育园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于杨浦区建设上海国家高技术服务产业园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于闵行区建设上海国家高技术服务产业园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于长宁区建设上海国家高技术服务产业园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于嘉定区建设上海国家高技术服务产业园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于青浦区建设上海国家高技术服务产业重点培育园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于松江区建设上海国家高技术服务产业重点培育园区的批复',上海市发展和改革委员会,2011-11-08,现行有效,地方政府规章及文件
'上海市发展改革委关于徐汇区建设上海国家高技术服务产业园区的批复',上海市发展和改革委员会,2011-11-07,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局、上海市地方税务局、上海市发展和改革委员会、上海市经济和信息化委员会关于转发《财政部、国家税务总局、发展改革委、工业和信息化部关于软件和集成电路产业企业所得税优惠政策有关问题的通知》的通知',上海市财政局;上海市国家税务局;上海市地方税务局;上海市发展和改革委员会;上海市经济和信息化委员会,2016-08-01,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市产业结构调整负面清单(2016版)》的通知',上海市经济和信息化委员会,2016-06-03,现行有效,地方政府规章及文件
'上海产业能效指南(2016版)',上海市经济和信息化委员会;上海市统计局;上海市节能监察中心;上海市能效中心,2016,现行有效,地方政府规章及文件
'关于印发《关于支持本市休闲农业和乡村旅游产业发展的规划土地政策实施意见(试行)》的通知',上海市规划和国土资源管理局;上海市农业委员会;上海市旅游局,2015-12-23,现行有效,地方政府规章及文件
'上海市经济信息化委、市科委、上海市张江高新技术产业开发区管理委员会关于印发《上海市创新产品推荐目录编制办法(试行)》的通知',上海市经济和信息化委员会;上海市科学技术委员会;上海市张江高新技术产业开发区管理委员会,2015-12-23,现行有效,地方政府规章及文件
'上海市经济信息化委、市财政局关于印发《上海市产业技术创新专项支持实施细则》的通知',上海市经济和信息化委员会;上海市财政局,2015-11-25,已失效,地方政府规章及文件
'关于印发《上海服务外包产业重点发展领域指导目录(2015年版)》的通知',上海市商务委员会,2015-10-16,现行有效,地方政府规章及文件
'上海市人民政府关于贯彻《国务院关于加快发展生产性服务业促进产业结构调整升级的指导意见》的实施意见',上海市人民政府,2015-07-09,已失效,地方政府规章及文件
'上海市人民政府关于加快发展体育产业促进体育消费的实施意见',上海市人民政府,2015-07-01,已失效,地方政府规章及文件
'上海市财政局、上海市国家税务局、上海市地方税务局、上海市发展和改革委员会、上海市经济和信息化委员会关于转发《财政部、国家税务总局、发展改革委、工业和信息化部关于进一步鼓励集成电路产业发展企业所得税政策的通知》的通知',上海市财政局;上海市国家税务局;上海市地方税务局;上海市发展和改革委员会;上海市经济和信息化委员会,2015-06-05,现行有效,地方政府规章及文件
'上海市徐汇区人民政府关于延长《上海市徐汇区人民政府关于印发<徐汇区关于加快推进文化创意产业发展的扶持意见(试行)>的通知》有效期的通知',上海市徐汇区人民政府,2015-03-30,现行有效,地方政府规章及文件
'上海市产业结构调整协调推进联席会议办公室关于印发《上海市2015年产业结构调整重点工作安排》的通知',上海市产业结构调整协调推进联席会议办公室,2015-03-30,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市产业园区创业服务体系建设导则(2015版)》的通知',上海市经济和信息化委员会,2015-03-16,现行有效,地方政府规章及文件
'上海市经济信息化委、市财政局关于印发《上海市产业转型升级发展专项资金管理办法》的通知',上海市经济和信息化委员会;上海市财政局,2015-02-26,已失效,地方政府规章及文件
'上海市人民政府关于贯彻《国务院关于推进文化创意和设计服务与相关产业融合发展的若干意见》的实施意见',上海市人民政府,2015-01-09,已失效,地方政府规章及文件
'市商务委、市发展改革委、市质量技监局、上海钻石办印发《关于促进本市钻石珠宝与贵金属首饰产业发展的指导意见》的函',上海市商务委员会;上海市发展和改革委员会;上海市质量技术监督局;上海钻石交易联合管理办公室,2014-11-13,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《关于上海加快发展和应用机器人促进产业转型提质增效的实施意见》的通知',上海市经济和信息化委员会,2014-11-10,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市工艺美术产业发展三年行动计划(2014-2016年)》的通知',上海市经济和信息化委员会,2014-09-13,现行有效,地方政府规章及文件
'上海市人民政府办公厅转发市发展改革委、市科委制订的《关于促进上海生物医药产业发展的若干政策(2014版)》的通知',上海市人民政府办公厅,2014-08-19,现行有效,地方政府规章及文件
'关于继续试行《关于优化民防行政审批流程支持本市产业园区加快建设的政策意见(试行)》的通知',上海市民防办公室,2014-08-07,现行有效,地方政府规章及文件
'上海市人民政府印发关于促进本市互联网金融产业健康发展若干意见的通知',上海市人民政府,2014-08-04,现行有效,地方政府规章及文件
'关于印发《向上海张江高新技术产业开发区各分园下放上海市高新技术成果转化项目认定行政审批权限试点的实施细则》的通知',上海市科学技术委员会,2014-07-23,已失效,地方政府规章及文件
'上海市人民政府办公厅转发市质量技监局等五部门《关于促进本市检验检测产业发展指导意见》的通知',上海市人民政府办公厅,2014-05-30,现行有效,地方政府规章及文件
'关于印发《向上海张江高新技术产业开发区各分园下放技术先进型服务企业认定行政审批权限试点的实施细则》的通知',上海市科学技术委员会,2014-04-16,已失效,地方政府规章及文件
'关于印发《向上海张江高新技术产业开发区各分园下放高新技术企业认定行政审批权限试点的实施细则》的通知',上海市科学技术委员会,2014-04-14,已失效,地方政府规章及文件
'上海市地方税务局关于修改软件产业和集成电路产业企业所得税优惠事项管理规程的通知',上海市地方税务局,2014-03-17,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于印发《上海市2014年产业结构调整重点工作安排》的通知',上海市人民政府办公厅,2014-03-07,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于转发市发展改革委等三部门制订的《上海市促进产业结构调整差别电价实施管理办法》的通知',上海市人民政府办公厅,2014-02-24,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局、上海市地方税务局关于转发《财政部、国家税务总局关于动漫产业增值税和营业税政策的通知》的通知',上海市财政局;上海市国家税务局;上海市地方税务局,2014-01-22,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于转发市科委、市发展改革委制订的《上海市生物医药产业发展行动计划(2014-2017年)》的通知',上海市人民政府办公厅,2014-01-17,现行有效,地方政府规章及文件
'上海市人民政府办公厅印发上海市贯彻《国务院关于促进光伏产业健康发展的若干意见》实施方案的通知',上海市人民政府办公厅,2013-11-22,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市产业园区企业服务导则(2013版)》的通知',上海市经济和信息化委员会,2013-06-14,现行有效,地方政府规章及文件
'上海市人民政府办公厅转发市张江高新区管委会等十一部门《关于开展向上海张江高新技术产业开发区各分园下放行政审批权限试点实施意见》的通知',上海市人民政府办公厅,2013-06-08,现行有效,地方政府规章及文件
'上海市人民政府关于印发《上海市2013年产业结构调整重点工作安排》的通知',上海市人民政府,2013-04-08,现行有效,地方政府规章及文件
'上海市人民政府关于深化流通体制改革加快流通产业发展的实施意见',上海市人民政府,2013-04-08,现行有效,地方政府规章及文件
'上海市环境保护局关于印发《上海市重点产业园区空气污染自动监控系统管理若干规定》的通知',上海市环境保护局,2013-03-28,已失效,地方政府规章及文件
'上海市经济信息化委、市财政局关于印发《上海市软件和集成电路产业发展专项资金管理办法》的通知',上海市经济和信息化委员会;上海市财政局,2012-12-28,已失效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市节能环保产业发展“十二五”规划》的通知',上海市经济和信息化委员会,2012-12-24,现行有效,地方政府规章及文件
'上海市经济信息化委、市发展改革委、市规划国土资源局、市统计局关于印发《上海产业用地指南(2012版)》的通知',上海市经济和信息化委员会;上海市发展和改革委员会;上海市规划和国土资源管理局;上海市统计局,2012-12-19,现行有效,地方政府规章及文件
'普陀区人民政府关于印发《普陀区关于落实产业项目行政审批流程优化实施方案》的通知',上海市普陀区人民政府,2012-12-17,已失效,地方政府规章及文件
'上海市发展改革委关于印发《上海市电力、热力生产业温室气体排放核算与报告方法(试行)》的通知',上海市发展和改革委员会,2012-12-13,现行有效,地方政府规章及文件
'上海市发展改革委关于印发《上海市旅游饭店、商场、房地产业及金融业办公建筑温室气体排放核算与报告方法(试行)》的通知',上海市发展和改革委员会,2012-12-12,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于印发上海市张江高新技术产业开发区管理委员会主要职责内设机构和人员编制规定的通知',上海市人民政府办公厅,2012-12-10,现行有效,地方政府规章及文件
'关于印发《上海市战略性新兴产业发展专项资金高技术服务业专项工程实施管理细则》的通知',上海市发展和改革委员会;上海市财政局,2012-11-29,现行有效,地方政府规章及文件
'上海市人民政府办公厅关于转发市商务委等三部门制订的《上海市促进服务外包产业发展专项资金使用和管理办法》的通知',上海市人民政府办公厅,2012-11-23,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市新能源产业发展“十二五”规划》的通知',上海市经济和信息化委员会,2012-11-16,现行有效,地方政府规章及文件
'关于印发《上海市民用航空发动机产业中长期发展规划(2012-2030年)》的通知',上海市发展和改革委员会;上海市经济和信息化委员会;上海市科学技术委员会,2012-11-06,现行有效,地方政府规章及文件
'关于印发《上海市战略性新兴产业发展专项资金--电子商务与新型贸易现代化专项工程实施管理细则》的通知',上海市发展和改革委员会;上海市商务委员会;上海市财政局,2012-09-26,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市船舶与海洋工程装备产业“十二五”发展规划》的通知',上海市经济和信息化委员会,2012-09-04,现行有效,地方政府规章及文件
'上海市经济信息化委关于强化企业主体地位实施产业技术创新工程的意见',上海市经济和信息化委员会,2012-08-29,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市产业技术创新“十二五”发展规划》的通知',上海市经济和信息化委员会,2012-08-27,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海推进移动互联网产业发展2012—2015年行动计划》的通知',上海市经济和信息化委员会,2012-08-20,现行有效,地方政府规章及文件
'上海市人民政府关于批转市发展改革委、市财政局制订的《上海市战略性新兴产业发展专项资金管理办法》的通知',上海市人民政府,2012-08-04,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市新材料产业“十二五”发展规划》的通知',上海市经济和信息化委员会,2012-07-30,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市民用航空产业“十二五”发展规划》的通知',上海市经济和信息化委员会,2012-06-25,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局、上海市地方税务局关于转发《财政部、国家税务总局关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知》的通知',上海市财政局;上海市国家税务局;上海市地方税务局,2012-05-29,现行有效,地方政府规章及文件
'上海市财政局、上海市国家税务局关于转发《财政部、海关总署、国家税务总局关于进一步扶持新型显示器件产业发展有关税收优惠政策的通知》的通知',上海市财政局;上海市国家税务局,2012-05-25,现行有效,地方政府规章及文件
'上海市经济信息化委关于印发《上海市产业和信息化法治建设“十二五”规划》的通知',上海市经济和信息化委员会,2012-05-20,现行有效,地方政府规章及文件
'上海市人民政府关于印发《上海市体育事业与体育产业发展“十二五”规划》的通知',上海市人民政府,2012-04-23,现行有效,地方政府规章及文件
